äa	f. poss. pron. her; {dit es äa Rock - this is her dress}. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4a	äa	Ehr	http://example.org/lexicon#S%C4%93_Ehr
_	_	_	emma	ümmer	http://example.org/lexicon#noch_%C3%BCmmer
opp lüdes	aloud. 	https://ereimer.net/plautdietsch/pddefns.htm#opp%20l%C3%BCdes	opp	Oop	http://example.org/lexicon#Oop
_	_	_	opp	op	http://example.org/lexicon#op
_	_	_	opp	op	http://example.org/lexicon#op_un_af
_	_	_	lüdes	_
opp packe	to pack up. 	https://ereimer.net/plautdietsch/pddefns.htm#opp%20packe	opp	Oop	http://example.org/lexicon#Oop
_	_	_	opp	op	http://example.org/lexicon#op
_	_	_	opp	op	http://example.org/lexicon#op_un_af
_	_	_	packe	Pack	http://example.org/lexicon#Sack_un_Pack
_	_	_	packe	Pack	http://example.org/lexicon#dat_Pack
_	_	_	packe	Packen	http://example.org/lexicon#Packen
_	_	_	packe	Perk	http://example.org/lexicon#Perk
_	_	_	packe	packen	http://example.org/lexicon#%C4%93%C4%93n_bi_de_%C5%8Chren_packen
_	_	_	packe	packen	http://example.org/lexicon#sik_packen
_	_	_	packe	packen	http://example.org/lexicon#t%C5%8D_Bett_packen
_	_	_	packe	peken	http://example.org/lexicon#peken
opp pausse	to be careful, beware. 	https://ereimer.net/plautdietsch/pddefns.htm#opp%20pausse	opp	Oop	http://example.org/lexicon#Oop
_	_	_	opp	op	http://example.org/lexicon#op
_	_	_	opp	op	http://example.org/lexicon#op_un_af
_	_	_	pausse	Pass	http://example.org/lexicon#Pass
_	_	_	pausse	Pass	http://example.org/lexicon#Pass_op
_	_	_	pausse	Paus	http://example.org/lexicon#Paus
_	_	_	pausse	passen	http://example.org/lexicon#ni_in_d%C4%97n_Kroom_passen
_	_	_	pausse	passen	http://example.org/lexicon#ni_m%C4%93hr_op%E2%80%99n_Kroom_passen
_	_	_	pausse	passen	http://example.org/lexicon#ni_passen
_	_	_	pausse	passen	http://example.org/lexicon#op%E2%80%99n_Kroom_passen
_	_	_	pausse	passen	http://example.org/lexicon#passen
opp pompe	to pump up. 	https://ereimer.net/plautdietsch/pddefns.htm#opp%20pompe	opp	Oop	http://example.org/lexicon#Oop
_	_	_	opp	op	http://example.org/lexicon#op
_	_	_	opp	op	http://example.org/lexicon#op_un_af
_	_	_	pompe	Pump	http://example.org/lexicon#Pump
_	_	_	pompe	pumpen	http://example.org/lexicon#pumpen
opp püste	to inflate, to blow up, puff up. 	https://ereimer.net/plautdietsch/pddefns.htm#opp%20p%C3%BCste	opp	Oop	http://example.org/lexicon#Oop
_	_	_	opp	op	http://example.org/lexicon#op
_	_	_	opp	op	http://example.org/lexicon#op_un_af
_	_	_	püste	_
Opparstoninj	f. resurrection. 	https://ereimer.net/plautdietsch/pddefns.htm#Opparstoninj	Opparstoninj	_
oppbäare	to get up with difficulty. 	https://ereimer.net/plautdietsch/pddefns.htm#oppb%C3%A4are	oppbäare	opbören	http://example.org/lexicon#%C4%93%C4%93n_opb%C3%B6ren
_	_	_	oppbäare	opbören	http://example.org/lexicon#sik_opb%C3%B6ren
oppbade	to impose. 	https://ereimer.net/plautdietsch/pddefns.htm#oppbade	oppbade	opbeden	http://example.org/lexicon#opbeden
oppbeede	to announce marriage bans. 	https://ereimer.net/plautdietsch/pddefns.htm#oppbeede	oppbeede	opbeden	http://example.org/lexicon#opbeden
Oppbeedung	f. (pl: e) marriage bans. 	https://ereimer.net/plautdietsch/pddefns.htm#Oppbeedung	Oppbeedung	_
oppbelkje	to scream suddenly, to shout out, to exclaim loudly. 	https://ereimer.net/plautdietsch/pddefns.htm#oppbelkje	oppbelkje	_
oppbewoare	to store, to preserve. 	https://ereimer.net/plautdietsch/pddefns.htm#oppbewoare	oppbewoare	opbewohren	http://example.org/lexicon#opbewohren
Oppbewoarinj	f. preservation. 	https://ereimer.net/plautdietsch/pddefns.htm#Oppbewoarinj	Oppbewoarinj	_
oppbliewe	to stay up, remain awake. 	https://ereimer.net/plautdietsch/pddefns.htm#oppbliewe	oppbliewe	opblieḃen	http://example.org/lexicon#opblie%E1%B8%83en
oppblitse	a sudden flash of light. 	https://ereimer.net/plautdietsch/pddefns.htm#oppblitse	oppblitse	_
oppblose	to inflate, to fill with air. 	https://ereimer.net/plautdietsch/pddefns.htm#oppblose	oppblose	opblosen	http://example.org/lexicon#opblosen
oppbräakje	to break up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppbr%C3%A4akje	oppbräakje	opbreken	http://example.org/lexicon#opbreken
oppbrenne	to flare up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppbrenne	oppbrenne	opbrėnnen	http://example.org/lexicon#opbr%C4%97nnen
oppbrinje	to bring up, to raise; to vomit. 	https://ereimer.net/plautdietsch/pddefns.htm#oppbrinje	oppbrinje	opbringen	http://example.org/lexicon#opbringen
oppbüe	to build up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppb%C3%BCe	oppbüe	Opbu	http://example.org/lexicon#Opbu
Oppdach	m. shelter, lodging, housing. 	https://ereimer.net/plautdietsch/pddefns.htm#Oppdach	Oppdach	_
oppdanse	to expand, bloat, swell up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdanse	oppdanse	_
oppdaume	to dam up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdaume	oppdaume	_
oppdäwre	see oppdonnre. 	https://ereimer.net/plautdietsch/pddefns.htm#oppd%C3%A4wre	oppdäwre	_
oppdeiwe , (M: oppdaue)	to thaw. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdeiwe%20%2C%20%28M%3A%20oppdaue%29	oppdeiwe	_
_	_	_	,	_
_	_	_	(M:	_
_	_	_	oppdaue)	_
oppdesche	to serve up a meal. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdesche	oppdesche	_
oppdome	to loom in the distance. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdome	oppdome	_
oppdonnre	to dress up in the very best clothes, to be dressed to the sevens. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdonnre	oppdonnre	_
Oppdrach	m. (pl: s) a commission. 	https://ereimer.net/plautdietsch/pddefns.htm#Oppdrach	Oppdrach	Opdrağ	http://example.org/lexicon#Opdra%C4%9F
oppdräje	to dry up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdr%C3%A4je	oppdräje	opdregen	http://example.org/lexicon#dick_opdregen
_	_	_	oppdräje	opdregen	http://example.org/lexicon#opdregen
_	_	_	oppdräje	opdreihen	http://example.org/lexicon#opdreihen
oppdrekje	to press down. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdrekje	oppdrekje	_
oppdrekjlijch	emphatically. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdrekjlijch	oppdrekjlijch	_
oppdrenje	to press forward in a crowd. 	https://ereimer.net/plautdietsch/pddefns.htm#oppdrenje	oppdrenje	_
oppe Hutt	to be careful, to be on guard. 	https://ereimer.net/plautdietsch/pddefns.htm#oppe%20Hutt	oppe	Oop	http://example.org/lexicon#Oop
_	_	_	oppe	op	http://example.org/lexicon#op
_	_	_	oppe	op	http://example.org/lexicon#op_un_af
_	_	_	oppe	open	http://example.org/lexicon#open
_	_	_	oppe	open	http://example.org/lexicon#open%7Cop
_	_	_	oppe	open	http://example.org/lexicon#open_%28f%C3%B6r_j%C4%93%C4%93d%C4%93%C4%93n%29
_	_	_	Hutt	Hutt	http://example.org/lexicon#Huut%7CHutt
oppe Kjlinkj	when the latch of the door is in place. 	https://ereimer.net/plautdietsch/pddefns.htm#oppe%20Kjlinkj	oppe	Oop	http://example.org/lexicon#Oop
_	_	_	oppe	op	http://example.org/lexicon#op
_	_	_	oppe	op	http://example.org/lexicon#op_un_af
_	_	_	oppe	open	http://example.org/lexicon#open
_	_	_	oppe	open	http://example.org/lexicon#open%7Cop
_	_	_	oppe	open	http://example.org/lexicon#open_%28f%C3%B6r_j%C4%93%C4%93d%C4%93%C4%93n%29
_	_	_	Kjlinkj	Kling	http://example.org/lexicon#Kling
_	_	_	Kjlinkj	Klink	http://example.org/lexicon#Klink
_	_	_	Kjlinkj	Klink	http://example.org/lexicon#Pink_%26_Klink
oppe Näj	in dire straits. 	https://ereimer.net/plautdietsch/pddefns.htm#oppe%20N%C3%A4j	oppe	Oop	http://example.org/lexicon#Oop
_	_	_	oppe	op	http://example.org/lexicon#op
_	_	_	oppe	op	http://example.org/lexicon#op_un_af
_	_	_	oppe	open	http://example.org/lexicon#open
_	_	_	oppe	open	http://example.org/lexicon#open%7Cop
_	_	_	oppe	open	http://example.org/lexicon#open_%28f%C3%B6r_j%C4%93%C4%93d%C4%93%C4%93n%29
_	_	_	Näj	nēēǧ	http://example.org/lexicon#n%C4%93%C4%93%C7%A7
_	_	_	Näj	nēēǧ	http://example.org/lexicon#n%C4%93%C4%93%C7%A7_an
_	_	_	Näj	nēēǧ	http://example.org/lexicon#n%C4%93%C4%93%C7%A7_bi
_	_	_	Näj	nēēǧ	http://example.org/lexicon#n%C4%93%C4%93%C7%A7_v%C3%B6r
oppen'owent	in the evening. 	https://ereimer.net/plautdietsch/pddefns.htm#oppen%27owent	oppen'owent	_
oppe'reare	to operate, perform surgery. 	https://ereimer.net/plautdietsch/pddefns.htm#oppe%27reare	oppe'reare	_
oppfange	to catch, like a cold. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfange	oppfange	opfangen	http://example.org/lexicon#opfangen
oppfaulent	impressive, striking, conspicuous. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfaulent	oppfaulent	_
oppfeare	behave, deport oneself. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfeare	oppfeare	_
oppfelle	to fill up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfelle	oppfelle	opfüllen	http://example.org/lexicon#opf%C3%BCllen
oppfer'eascht	temporarily, for the time being, preliminary, tentative, provisional. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfer%27eascht	oppfer'eascht	_
oppfesche	to pick up, like a communicable disease; to overhear. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfesche	oppfesche	_
oppfläje	to fly up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfl%C3%A4je	oppfläje	opflēgen	http://example.org/lexicon#opfl%C4%93gen
oppflaume	to flame up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppflaume	oppflaume	_
oppfliee	to pile up in layers like firewood; to stack. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfliee	oppfliee	_
Oppfoat	f. (pl: e) driveway, lane, approach. 	https://ereimer.net/plautdietsch/pddefns.htm#Oppfoat	Oppfoat	Opfohrt	http://example.org/lexicon#Opfohrt
oppfoawe	to paint, to dye. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfoawe	oppfoawe	_
oppfoddre	to call up, to summon. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfoddre	oppfoddre	_
oppfoodre	to feed until the supply is consumed. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfoodre	oppfoodre	_
oppfote	to grasp, to understand, to perceive, to learn; to record. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfote	oppfote	_
oppfräte	to devour, to gorge. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfr%C3%A4te	oppfräte	opfreten	http://example.org/lexicon#opfreten
_	_	_	oppfräte	opfreten	http://example.org/lexicon#opfreten_k%C3%B6nen
oppfresche	to reintroduce, to invigorate, to freshen up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppfresche	oppfresche	_
oppgone	to rise up out of the ground, like a plant. 	https://ereimer.net/plautdietsch/pddefns.htm#oppgone	oppgone	opgohn	http://example.org/lexicon#%28%C4%93%C4%93n_wat%29_opgohn
_	_	_	oppgone	opgohn	http://example.org/lexicon#opgohn
Oppgow	f. (pl: e) lesson, problem, task, mandate, assignment. 	https://ereimer.net/plautdietsch/pddefns.htm#Oppgow	Oppgow	Opgoov	http://example.org/lexicon#Opgoov
oppgrowe	disinter, dig up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppgrowe	oppgrowe	_
opphabe	to have on, to wear, like a cap. 	https://ereimer.net/plautdietsch/pddefns.htm#opphabe	opphabe	ophėbben	http://example.org/lexicon#oph%C4%97bben
opphalpe	to help up. 	https://ereimer.net/plautdietsch/pddefns.htm#opphalpe	opphalpe	_
opphaulse	to burden with. 	https://ereimer.net/plautdietsch/pddefns.htm#opphaulse	opphaulse	_
opphäwe	to pick up, to lift, to raise. 	https://ereimer.net/plautdietsch/pddefns.htm#opph%C3%A4we	opphäwe	_
oppheare	to cease, desist, discontinue, to end. 	https://ereimer.net/plautdietsch/pddefns.htm#oppheare	oppheare	_
oppheitre	to arouse, motivate, cheer up, exhilarate. 	https://ereimer.net/plautdietsch/pddefns.htm#oppheitre	oppheitre	_
opphenje	to hang up, to hang. 	https://ereimer.net/plautdietsch/pddefns.htm#opphenje	opphenje	_
opphiepe	to heap up, pile up, stack. 	https://ereimer.net/plautdietsch/pddefns.htm#opphiepe	opphiepe	_
opphoake	to hook up. 	https://ereimer.net/plautdietsch/pddefns.htm#opphoake	opphoake	ophoken	http://example.org/lexicon#ophoken
_	_	_	opphoake	ophorken	http://example.org/lexicon#ophorken
_	_	_	opphoake	ophârken	http://example.org/lexicon#oph%C3%A2rken
opphole	to inhale. 	https://ereimer.net/plautdietsch/pddefns.htm#opphole	opphole	ophōlen	http://example.org/lexicon#%C4%97n_St%C5%8D%C5%8Dt_oph%C5%8Dlen
_	_	_	opphole	ophōlen	http://example.org/lexicon#in%E2%80%99_Snack_oph%C5%8Dlen
_	_	_	opphole	ophōlen	http://example.org/lexicon#oph%C5%8Dlen
_	_	_	opphole	ophōlen	http://example.org/lexicon#sik_%C3%B6ver_%C4%93%C4%93n%7Cwat_oph%C5%8Dlen
_	_	_	opphole	ophōlen	http://example.org/lexicon#sik_oph%C5%8Dlen
opphoole	to detain, to hold up; to dwell upon, to find fault with. 	https://ereimer.net/plautdietsch/pddefns.htm#opphoole	opphoole	ophōlen	http://example.org/lexicon#%C4%97n_St%C5%8D%C5%8Dt_oph%C5%8Dlen
_	_	_	opphoole	ophōlen	http://example.org/lexicon#in%E2%80%99_Snack_oph%C5%8Dlen
_	_	_	opphoole	ophōlen	http://example.org/lexicon#oph%C5%8Dlen
_	_	_	opphoole	ophōlen	http://example.org/lexicon#sik_%C3%B6ver_%C4%93%C4%93n%7Cwat_oph%C5%8Dlen
_	_	_	opphoole	ophōlen	http://example.org/lexicon#sik_oph%C5%8Dlen
opphorjche	to pick up by listening. 	https://ereimer.net/plautdietsch/pddefns.htm#opphorjche	opphorjche	_
oppjäwe	to give up, to relinquish, surrender, yield. 	https://ereimer.net/plautdietsch/pddefns.htm#oppj%C3%A4we	oppjäwe	opgeḃen	http://example.org/lexicon#opge%E1%B8%83en
_	_	_	oppjäwe	opgeḃen	http://example.org/lexicon#sien_Amt_%E2%80%A6_opge%E1%B8%83en
_	_	_	oppjäwe	opgeḃen	http://example.org/lexicon#wat_opge%E1%B8%83en
oppjeblost	blown up, distended. see oppblose. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjeblost	oppjeblost	_
oppjedäwat , oppjedonnat	dressed to kill. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjed%C3%A4wat%20%2C%20oppjedonnat	oppjedäwat	_
_	_	_	,	_
_	_	_	oppjedonnat	_
oppjeete	to pour water on, to prime a pump. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjeete	oppjeete	_
oppjelajcht	laid on; see opplaje. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjelajcht	oppjelajcht	_
oppjeoabeit	when the work is all completed. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjeoabeit	oppjeoabeit	_
oppjepropt foll	full to the limit, full to bursting. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjepropt%20foll	oppjepropt	_
_	_	_	foll	Fohl	http://example.org/lexicon#dat_Fohl
_	_	_	foll	Fâll	http://example.org/lexicon#F%C3%A2ll
_	_	_	foll	Fâll	http://example.org/lexicon#dat_F%C3%A2ll
_	_	_	foll	Fâll	http://example.org/lexicon#op_k%C4%93%C4%93n_F%C3%A2ll
_	_	_	foll	Fōōl	http://example.org/lexicon#F%C5%8D%C5%8Dl
_	_	_	foll	vull	http://example.org/lexicon#f%C3%B6r_vull
_	_	_	foll	vull	http://example.org/lexicon#f%C3%B6r_vull_an%E2%80%99t%7Cin%E2%80%99t%7Cbi%E2%80%99t
_	_	_	foll	vull	http://example.org/lexicon#vull
_	_	_	foll	vull	http://example.org/lexicon#vull_vun
oppjepüst	bloated, puffed up; see oppüste. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjep%C3%BCst	oppjepüst	_
oppjeräajcht	excited, stimulated, moved; see oppräaje. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjer%C3%A4ajcht	oppjeräajcht	_
oppjeriemt	having put things in order; see opprieme. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjeriemt	oppjeriemt	_
oppjestopselt	having piled in layers, stacked; see oppstopsle. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjestopselt	oppjestopselt	_
oppjetritst	wound up, raised up by means of a block and tackle. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjetritst	oppjetritst	_
oppjewakjt	having been awakened, having a bright and clever nature. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjewakjt	oppjewakjt	_
oppjewäkjt	softened by soaking; see oppwäkje. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjew%C3%A4kjt	oppjewäkjt	_
oppjewept	curled up, like an old shoe that is curled up at the toes. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjewept	oppjewept	_
oppjoa	next year. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjoa	oppjoa	_
oppjoage	to chase up for the hounds; to rout someone out of bed. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjoage	oppjoage	_
oppjuche	to shout or scream loudly and suddenly. 	https://ereimer.net/plautdietsch/pddefns.htm#oppjuche	oppjuche	_
oppkjeepe	to buy up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppkjeepe	oppkjeepe	_
oppkjikje	to look up, raise the eyes. 	https://ereimer.net/plautdietsch/pddefns.htm#oppkjikje	oppkjikje	_
oppkjremple	to roll up like the sleeves of a shirt. 	https://ereimer.net/plautdietsch/pddefns.htm#oppkjremple	oppkjremple	_
oppkjriesche	to scream suddenly, a sudden shriek. 	https://ereimer.net/plautdietsch/pddefns.htm#oppkjriesche	oppkjriesche	_
oppkjwalle	to expand due to the absorption of moisture, like grain when soaked in water. 	https://ereimer.net/plautdietsch/pddefns.htm#oppkjwalle	oppkjwalle	opquellen	http://example.org/lexicon#opquellen_e%7Ci
oppkloare	to clear up. 	https://ereimer.net/plautdietsch/pddefns.htm#oppkloare	oppkloare	Opklorer	http://example.org/lexicon#Opklorer
_	_	_	oppkloare	opkloren	http://example.org/lexicon#opkloren
oppknaule	detonate, pop, burst. 	https://ereimer.net/plautdietsch/pddefns.htm#oppknaule	oppknaule	_
oppkoake	to cook up a brew. 	https://ereimer.net/plautdietsch/pddefns.htm#oppkoake	oppkoake	_
opplache	to burst out laughing. 	https://ereimer.net/plautdietsch/pddefns.htm#opplache	opplache	_
opplaje	to commission, to lay on a responsibility, to lay on; {Säle opplaje - to harness a horse}. 	https://ereimer.net/plautdietsch/pddefns.htm#opplaje	opplaje	oplėggen	http://example.org/lexicon#opl%C4%97ggen
oppläse	to pick up like picking up newly dug potatoes. 	https://ereimer.net/plautdietsch/pddefns.htm#oppl%C3%A4se	oppläse	_
opplatst	possibly, likely; see opplengd. 	https://ereimer.net/plautdietsch/pddefns.htm#opplatst	opplatst	opletzt	http://example.org/lexicon#opletzt
oppläwe	to revive, become alive. 	https://ereimer.net/plautdietsch/pddefns.htm#oppl%C3%A4we	oppläwe	Opleḃen	http://example.org/lexicon#dat_Ople%E1%B8%83en
_	_	_	oppläwe	opleḃen	http://example.org/lexicon#ople%E1%B8%83en
oppleese	to soften by soaking, to dissolve. 	https://ereimer.net/plautdietsch/pddefns.htm#oppleese	oppleese	Oplȫsen	http://example.org/lexicon#Opl%C8%ABsen
_	_	_	oppleese	oplȫsen	http://example.org/lexicon#%28sik%29_opl%C8%ABsen
_	_	_	oppleese	oplȫsen	http://example.org/lexicon#Stau_opl%C8%ABsen
opplekje	to lick up. 	https://ereimer.net/plautdietsch/pddefns.htm#opplekje	opplekje	_
opplengd	possibly, likely. 	https://ereimer.net/plautdietsch/pddefns.htm#opplengd	opplengd	_
oppligje	to rest on a support; to be a burden. 	https://ereimer.net/plautdietsch/pddefns.htm#oppligje	oppligje	_
Opploag	burden, responsibility; tax increase; edition. 	https://ereimer.net/plautdietsch/pddefns.htm#Opploag	Opploag	Oplooğ	http://example.org/lexicon#Oploo%C4%9F
opploagre	to prepare a bed for someone. 	https://ereimer.net/plautdietsch/pddefns.htm#opploagre	opploagre	_
opplockre	to fluff up, to scarify. 	https://ereimer.net/plautdietsch/pddefns.htm#opplockre	opplockre	_
opplode	to load up. 	https://ereimer.net/plautdietsch/pddefns.htm#opplode	opplode	oploden	http://example.org/lexicon#oploden
_	_	_	opplode	oploden	http://example.org/lexicon#sik_oploden
oppmiare	to build up brick wall. 	https://ereimer.net/plautdietsch/pddefns.htm#oppmiare	oppmiare	_
oppmoake	to make up (a bed). 	https://ereimer.net/plautdietsch/pddefns.htm#oppmoake	oppmoake	opmoken	http://example.org/lexicon#Bett_opmoken
_	_	_	oppmoake	opmoken	http://example.org/lexicon#opmoken
_	_	_	oppmoake	opmoken	http://example.org/lexicon#sik_opmoken
oppmoakjsom	alert, attentive, vigilant. 	https://ereimer.net/plautdietsch/pddefns.htm#oppmoakjsom	oppmoakjsom	opmârksoom	http://example.org/lexicon#opm%C3%A2rksoom
oppmuntre	to encourage, to cheer up someone. 	https://ereimer.net/plautdietsch/pddefns.htm#oppmuntre	oppmuntre	_
oppnäme	to exercise hospitality; to gain weight; to record with a tape recorder. 	https://ereimer.net/plautdietsch/pddefns.htm#oppn%C3%A4me	oppnäme	opnehmen	http://example.org/lexicon#Fohrt_opnehmen
_	_	_	oppnäme	opnehmen	http://example.org/lexicon#dat_mit_%C4%93%C4%93n_opnehmen_k%C3%B6nen
_	_	_	oppnäme	opnehmen	http://example.org/lexicon#opnehmen
oppnäment	hospitable. 	https://ereimer.net/plautdietsch/pddefns.htm#oppn%C3%A4ment	oppnäment	_
Oppnom	f. reception, hospitality. 	https://ereimer.net/plautdietsch/pddefns.htm#Oppnom	Oppnom	Opnohm	http://example.org/lexicon#Opnohm
oppoabeide	to complete the job. 	https://ereimer.net/plautdietsch/pddefns.htm#oppoabeide	oppoabeide	opârbeiden	http://example.org/lexicon#op%C3%A2rbeiden
oppodme	to breathe in, to draw in a breath. 	https://ereimer.net/plautdietsch/pddefns.htm#oppodme	oppodme	_
oppopfre	to sacrifice. 	https://ereimer.net/plautdietsch/pddefns.htm#oppopfre	oppopfre	_
Opppenthault	m. (pl: e) abode, residence, haunt, dwelling, refuge. 	https://ereimer.net/plautdietsch/pddefns.htm#Opppenthault	Opppenthault	_
oppplautse	to burst. 	https://ereimer.net/plautdietsch/pddefns.htm#oppplautse	oppplautse	_
opp'poat	apart; peculiar; special; particular. 	https://ereimer.net/plautdietsch/pddefns.htm#opp%27poat	opp'poat	_
oppräaje	excite, arouse, move, agitate, stimulate. 	https://ereimer.net/plautdietsch/pddefns.htm#oppr%C3%A4aje	oppräaje	Opregen	http://example.org/lexicon#Opregen
_	_	_	oppräaje	Opregen	http://example.org/lexicon#dat_Opregen
_	_	_	oppräaje	opregen	http://example.org/lexicon#L%C3%BC%C3%BCd_opregen
_	_	_	oppräaje	opregen	http://example.org/lexicon#sik_opregen
opprajcht	upright, honest. 	https://ereimer.net/plautdietsch/pddefns.htm#opprajcht	opprajcht	oprecht	http://example.org/lexicon#piel_oprecht
oppräje	to list, mention, enumerate. 	https://ereimer.net/plautdietsch/pddefns.htm#oppr%C3%A4je	oppräje	Opregen	http://example.org/lexicon#Opregen
_	_	_	oppräje	Opregen	http://example.org/lexicon#dat_Opregen
_	_	_	oppräje	opregen	http://example.org/lexicon#L%C3%BC%C3%BCd_opregen
_	_	_	oppräje	opregen	http://example.org/lexicon#sik_opregen
opprautse , oppreitse	to excite, to titillate. 	https://ereimer.net/plautdietsch/pddefns.htm#opprautse%20%2C%20oppreitse	opprautse	_
_	_	_	,	_
_	_	_	oppreitse	_
oppreitsent	provocative, lascivious. 	https://ereimer.net/plautdietsch/pddefns.htm#oppreitsent	oppreitsent	_
opprejchte	to erect, to raise, rear up, straighten up. 	https://ereimer.net/plautdietsch/pddefns.htm#opprejchte	opprejchte	oprecht	http://example.org/lexicon#piel_oprecht
opprejchtijch	honest, sincere. 	https://ereimer.net/plautdietsch/pddefns.htm#opprejchtijch	opprejchtijch	_
Opprejchtijchkjeit	honesty, sincerity, righteousness. 	https://ereimer.net/plautdietsch/pddefns.htm#Opprejchtijchkjeit	Opprejchtijchkjeit	_
opprejchtje Äjenschoft	virtue. 	https://ereimer.net/plautdietsch/pddefns.htm#opprejchtje%20%C3%84jenschoft	opprejchtje	_
_	_	_	Äjenschoft	_
opprelpse	to burp loudly and forcefully. 	https://ereimer.net/plautdietsch/pddefns.htm#opprelpse	opprelpse	_
opprieme	to put things in order, to clean up. 	https://ereimer.net/plautdietsch/pddefns.htm#opprieme	opprieme	oprümen	http://example.org/lexicon#opr%C3%BCmen
oppriete	to rupture, to burst. 	https://ereimer.net/plautdietsch/pddefns.htm#oppriete	oppriete	oprieten	http://example.org/lexicon#oprieten
Opprigj	m (pl: s) a strikeout, the ridge produced by the first furrow plowed by a farmer when he begins to plow a field. He heads for the marker at the other end of the field trying to strike a straight furrow. 	https://ereimer.net/plautdietsch/pddefns.htm#Opprigj	Opprigj	_
opprolle	to roll up, to furl. 	https://ereimer.net/plautdietsch/pddefns.htm#opprolle	opprolle	_
opproope	to call up, to summon. 	https://ereimer.net/plautdietsch/pddefns.htm#opproope	opproope	Oprōōp	http://example.org/lexicon#Opr%C5%8D%C5%8Dp
_	_	_	opproope	oprōpen	http://example.org/lexicon#opr%C5%8Dpen
opprope	to scoop up with the hands. 	https://ereimer.net/plautdietsch/pddefns.htm#opprope	opprope	Oprōōp	http://example.org/lexicon#Opr%C5%8D%C5%8Dp
_	_	_	opprope	oprōpen	http://example.org/lexicon#opr%C5%8Dpen
opprottse	to snort or hawk through the nose and throat. 	https://ereimer.net/plautdietsch/pddefns.htm#opprottse	opprottse	_
Opprua	m. uproar, alarm, riot, revolt, commotion, rebellion, insurrection, upheaval. 	https://ereimer.net/plautdietsch/pddefns.htm#Opprua	Opprua	Oprōhr	http://example.org/lexicon#Opr%C5%8Dhr
_	_	_	Opprua	Oprōhr	http://example.org/lexicon#Opr%C5%8Dhr%7CR%C5%8Dhr
oppsaje	to recite. 	https://ereimer.net/plautdietsch/pddefns.htm#oppsaje	oppsaje	opsėggen	http://example.org/lexicon#d%C4%97n_K%C5%8D%C5%8Dp_ops%C4%97ggen
_	_	_	oppsaje	opsėggen	http://example.org/lexicon#ops%C4%97ggen
oppsäkje	to look up (a friend, a word in the dictionary). 	https://ereimer.net/plautdietsch/pddefns.htm#opps%C3%A4kje	oppsäkje	_
oppsate	to set the table; to don your cap; to stook sheaves and set them in an upright position in bunches of six or eight so they can dry; set up bread so it can rise. 	https://ereimer.net/plautdietsch/pddefns.htm#oppsate	oppsate	opsetten	http://example.org/lexicon#%C4%97n_Fliep_hangen_loten%7Cmoken%7Copsetten%7Ctrecken
_	_	_	oppsate	opsetten	http://example.org/lexicon#%C4%97n_Ries_opsetten
_	_	_	oppsate	opsetten	http://example.org/lexicon#opsetten
